ticker,name,market,locale,active,currency_symbol,currency_name,base_currency_symbol,base_currency_name,last_updated_utc
X:BCHGBP,Bitcoin Cash - Great Britian Pound,crypto,global,True,GBP,Great Britian Pound,BCH,Bitcoin Cash,2017-01-01T00:00:00Z
X:BCHUSD,Bitcoin Cash - United States Dollar,crypto,global,True,USD,United States Dollar,BCH,Bitcoin Cash,2017-01-01T00:00:00Z
X:BFTUSD,BnkToTheFuture - United States Dollar,crypto,global,True,USD,United States Dollar,BFT,BnkToTheFuture,2017-01-01T00:00:00Z
X:BNTUSD,Bancor - United States Dollar,crypto,global,True,USD,United States Dollar,BNT,Bancor,2017-01-01T00:00:00Z
X:BOBAUSD,Boba Network - United States Dollar,crypto,global,True,USD,United States Dollar,BOBA,Boba Network,2017-01-01T00:00:00Z
X:BONDUSD,BarnBridge - United States Dollar,crypto,global,True,USD,United States Dollar,BOND,BarnBridge,2017-01-01T00:00:00Z
X:BONKEUR,Bonk - Euro,crypto,global,True,EUR,Euro,BONK,Bonk,2017-01-01T00:00:00Z
X:BONKUSD,Bonk - United States Dollar,crypto,global,True,USD,United States Dollar,BONK,Bonk,2017-01-01T00:00:00Z
X:BOSONUSD,Boson Protocol - United States Dollar,crypto,global,True,USD,United States Dollar,BOSON,Boson Protocol,2017-01-01T00:00:00Z
X:BSVUSD,Bitcoin SV - United States Dollar,crypto,global,True,USD,United States Dollar,BSV,Bitcoin SV,2017-01-01T00:00:00Z
X:BTCAUD,Bitcoin - Australian Dollar,crypto,global,True,AUD,Australian Dollar,BTC,Bitcoin,2017-01-01T00:00:00Z
X:BTCEUR,Bitcoin - Euro,crypto,global,True,EUR,Euro,BTC,Bitcoin,2017-01-01T00:00:00Z
X:BTCGBP,Bitcoin - Great Britain Pound,crypto,global,True,GBP,Great Britain Pound,BTC,Bitcoin,2017-01-01T00:00:00Z
X:BTCJPY,Bitcoin - Japanese Yen,crypto,global,True,JPY,Japanese Yen,BTC,Bitcoin,2017-01-01T00:00:00Z
X:BTCUSD,Bitcoin - United States Dollar,crypto,global,True,USD,United States Dollar,BTC,Bitcoin,2017-01-01T00:00:00Z
X:BTGUSD,Bitcoin Gold - United States Dollar,crypto,global,True,USD,United States Dollar,BTG,Bitcoin Gold,2017-01-01T00:00:00Z
X:BTRSTUSD,Braintrust - United States Dollar,crypto,global,True,USD,United States Dollar,BTRST,Braintrust,2017-01-01T00:00:00Z
X:BTSEUSD,BTSE - United States Dollar,crypto,global,True,USD,United States Dollar,BTSE,BTSE,2017-01-01T00:00:00Z
X:BTTUSD,BitTorrent - United States Dollar,crypto,global,True,USD,United States Dollar,BTT,BitTorrent,2017-01-01T00:00:00Z
X:C98USD,Coin98 - United States Dollar,crypto,global,True,USD,United States Dollar,C98,Coin98,2017-01-01T00:00:00Z
X:CELUSD,Celsius - United States Dollar,crypto,global,True,USD,United States Dollar,CEL,Celsius,2017-01-01T00:00:00Z
X:CGLDUSD,Celo - United States Dollar,crypto,global,True,USD,United States Dollar,CGLD,Celo,2017-01-01T00:00:00Z
X:CHREUR,Arcblock - Euro,crypto,global,True,EUR,Euro,CHR,Arcblock,2017-01-01T00:00:00Z
X:CHRUSD,Chromia - United States Dollar,crypto,global,True,USD,United States Dollar,CHR,Chromia,2017-01-01T00:00:00Z
X:CHSBUSD,SwissBorg - United States Dollar,crypto,global,True,USD,United States Dollar,CHSB,SwissBorg,2017-01-01T00:00:00Z
X:CHZUSD,Chiliz - United States Dollar,crypto,global,True,USD,United States Dollar,CHZ,Chiliz,2017-01-01T00:00:00Z
X:CLOUSD,Callisto - United States Dollar,crypto,global,True,USD,United States Dollar,CLO,Callisto,2017-01-01T00:00:00Z
X:CLVUSD,Clover Finance - United States Dollar,crypto,global,True,USD,United States Dollar,CLV,Clover Finance,2017-01-01T00:00:00Z
X:COMPUSD,Compound - United States Dollar,crypto,global,True,USD,United States Dollar,COMP,Compound,2017-01-01T00:00:00Z
X:COTIUSD,Coti - United States Dollar,crypto,global,True,USD,United States Dollar,COTI,Coti,2017-01-01T00:00:00Z
X:COVALUSD,Circuits of Value - United States Dollar,crypto,global,True,USD,United States Dollar,COVAL,Circuits of Value,2017-01-01T00:00:00Z
X:CROUSD,Crypto.com - United States Dollar,crypto,global,True,USD,United States Dollar,CRO,Crypto.com,2017-01-01T00:00:00Z
X:CRPTUSD,Crypterium - United States Dollar,crypto,global,True,USD,United States Dollar,CRPT,Crypterium,2017-01-01T00:00:00Z
X:CRVUSD,Curve DAO Token - United States Dollar,crypto,global,True,USD,United States Dollar,CRV,Curve DAO Token,2017-01-01T00:00:00Z
X:CSMUSD,Consentium - United States Dollar,crypto,global,True,USD,United States Dollar,CSM,Consentium,2017-01-01T00:00:00Z
X:CTSIUSD,Cartesi - United States Dollar,crypto,global,True,USD,United States Dollar,CTSI,Cartesi,2017-01-01T00:00:00Z
X:CVCUSD,Civic - United States Dollar,crypto,global,True,USD,United States Dollar,CVC,Civic,2017-01-01T00:00:00Z
X:CVXUSD,Convex Finance - United States Dollar,crypto,global,True,USD,United States Dollar,CVX,Convex Finance,2017-01-01T00:00:00Z
X:DAIUSD,Dai - United States Dollar,crypto,global,True,USD,United States Dollar,DAI,Dai,2017-01-01T00:00:00Z
X:DARUSD,Mines of Dalarnia - United States Dollar,crypto,global,True,USD,United States Dollar,DAR,Mines of Dalarnia,2017-01-01T00:00:00Z
X:DASHUSD,Dash - United States Dollar,crypto,global,True,USD,United States Dollar,DASH,Dash,2017-01-01T00:00:00Z
X:DDXUSD,DerivaDAO - United States Dollar,crypto,global,True,USD,United States Dollar,DDX,DerivaDAO,2017-01-01T00:00:00Z
X:DGBUSD,DigiByte - United States Dollar,crypto,global,True,USD,United States Dollar,DGB,DigiByte,2017-01-01T00:00:00Z
X:DIAEUR,DIA - Euro,crypto,global,True,EUR,Euro,DIA,DIA,2017-01-01T00:00:00Z
X:DIAUSD,DIA - United States Dollar,crypto,global,True,USD,United States Dollar,DIA,DIA,2017-01-01T00:00:00Z
X:DNYUSD,District0x - United States Dollar,crypto,global,True,USD,United States Dollar,DNT,District0x,2017-01-01T00:00:00Z
X:DOGEUSD,Dogecoin - United States Dollar,crypto,global,True,USD,United States Dollar,DOGE,Dogecoin,2017-01-01T00:00:00Z
X:DOTUSD,Polkadot - United States Dollar,crypto,global,True,USD,United States Dollar,DOT,Polkadot,2017-01-01T00:00:00Z
X:DSHUSD,Dash - United States Dollar,crypto,global,True,USD,United States Dollar,DSH,Dash,2017-01-01T00:00:00Z
X:DUSKUSD,Dusk Network - United States Dollar,crypto,global,True,USD,United States Dollar,DUSK,Dusk Network,2017-01-01T00:00:00Z
X:DVFUSD,DeversiFi - United States Dollar,crypto,global,True,USD,United States Dollar,DVF,DeversiFi,2017-01-01T00:00:00Z
X:DYDXEUR,dYdX - Euro,crypto,global,True,EUR,Euro,DYDX,dYdX,2017-01-01T00:00:00Z
X:DYDXUSD,dYdX - United States Dollar,crypto,global,True,USD,United States Dollar,DYDX,dYdX,2017-01-01T00:00:00Z
X:EDOUSD,Eidoo - United States Dollar,crypto,global,True,USD,United States Dollar,EDO,Eidoo,2017-01-01T00:00:00Z
X:EGLDUSD,Elrond - United States Dollar,crypto,global,True,USD,United States Dollar,EGLD,Elrond,2017-01-01T00:00:00Z
X:ELAUSD,Elastos - United States Dollar,crypto,global,True,USD,United States Dollar,ELA,Elastos,2017-01-01T00:00:00Z
X:ENJUSD,Enjin Coin - United States Dollar,crypto,global,True,USD,United States Dollar,ENJ,Enjin Coin,2017-01-01T00:00:00Z
X:EOSUSD,EOS - United States Dollar,crypto,global,True,USD,United States Dollar,EOS,EOS,2017-01-01T00:00:00Z
X:ETCUSD,Ethereum Classic - United States Dollar,crypto,global,True,USD,United States Dollar,ETC,Ethereum Classic,2017-01-01T00:00:00Z
X:ETHAUD,Ethereum - Australian dollar,crypto,global,True,AUD,Australian dollar,ETH,Ethereum,2017-01-01T00:00:00Z
X:ETHBTC,Ethereum - Bitcoin,crypto,global,True,BTC,Bitcoin,ETH,Ethereum,2017-01-01T00:00:00Z
X:ETHUSD,Ethereum - United States Dollar,crypto,global,True,USD,United States Dollar,ETH,Ethereum,2017-01-01T00:00:00Z
X:ETPUSD,Metaverse - United States Dollar,crypto,global,True,USD,United States Dollar,ETP,Metaverse,2017-01-01T00:00:00Z
X:FARMUSD,Harvest Finance - United States Dollar,crypto,global,True,USD,United States Dollar,FARM,Harvest Finance,2017-01-01T00:00:00Z
X:FCLUSD,Fractal - United States Dollar,crypto,global,True,USD,United States Dollar,FCL,Fractal,2017-01-01T00:00:00Z
X:FETUSD,Fetch.ai - United States Dollar,crypto,global,True,USD,United States Dollar,FET,Fetch.ai,2017-01-01T00:00:00Z
X:FILUSD,Filecoin - United States Dollar,crypto,global,True,USD,United States Dollar,FIL,Filecoin,2017-01-01T00:00:00Z
X:FISUSD,StaFi Protocol - United States Dollar,crypto,global,True,USD,United States Dollar,FIS,StaFi Protocol,2017-01-01T00:00:00Z
X:FLOWUSD,Flow - United States Dollar,crypto,global,True,USD,United States Dollar,FLOW,Flow,2017-01-01T00:00:00Z
X:FORTHUSD,Ampleforth Governance Token - United States Dollar,crypto,global,True,USD,United States Dollar,FORTH,Ampleforth Governance Token,2017-01-01T00:00:00Z
X:FORTUSD,Forta - United States Dollar,crypto,global,True,USD,United States Dollar,FORT,Forta,2017-01-01T00:00:00Z
X:FOXUSD,Shapeshift FOX Token - United States Dollar,crypto,global,True,USD,United States Dollar,FOX,Shapeshift FOX Token,2017-01-01T00:00:00Z
X:FTMUSD,Fantom - United States Dollar,crypto,global,True,USD,United States Dollar,FTM,Fantom,2017-01-01T00:00:00Z
X:FTTUSD,FTX Token - United States Dollar,crypto,global,True,USD,United States Dollar,FTT,FTX Token,2017-01-01T00:00:00Z
