"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
40,"APH","Amphenol Corp.","Technology","Electronic Components","USA",75111.57,37.16,62.37,3.88%,7596540
41,"APTV","Aptiv PLC","Consumer Cyclical","Auto Parts","Ireland",18321.50,5.21,68.94,1.52%,3887275
42,"ARE","Alexandria Real Estate Equities Inc.","Real Estate","REIT - Office","USA",19816.07,139.73,113.28,0.88%,655260
43,"ATO","Atmos Energy Corp.","Utilities","Utilities - Regulated Gas","USA",19154.22,18.65,126.95,-0.90%,1237181
44,"AVB","Avalonbay Communities Inc.","Real Estate","REIT - Residential","USA",29637.23,35.27,208.39,0.24%,599147
45,"AVGO","Broadcom Inc","Technology","Semiconductors","USA",678402.24,62.70,145.74,6.95%,27537427
46,"AVY","Avery Dennison Corp.","Consumer Cyclical","Packaging & Containers","USA",16726.42,26.68,207.73,2.42%,541943
47,"AWK","American Water Works Co. Inc.","Utilities","Utilities - Regulated Water","USA",28198.19,29.52,144.71,0.64%,1188239
48,"AXON","Axon Enterprise Inc","Industrials","Aerospace & Defense","USA",27807.68,97.34,368.46,5.50%,1518453
49,"AXP","American Express Co.","Financial","Credit Services","USA",166025.92,17.42,233.54,2.07%,2239094
50,"AZO","Autozone Inc.","Consumer Cyclical","Specialty Retail","USA",53921.90,21.83,3157.02,2.36%,124198
51,"BA","Boeing Co.","Industrials","Aerospace & Defense","USA",104052.62,,168.87,3.45%,6061552
52,"BAC","Bank Of America Corp.","Financial","Banks - Diversified","USA",296493.54,13.44,38.21,2.44%,36543633
53,"BALL","Ball Corp.","Consumer Cyclical","Packaging & Containers","USA",19184.99,,63.20,0.40%,1845775
54,"BAX","Baxter International Inc.","Healthcare","Medical Instruments & Supplies","USA",19090.93,,37.42,2.27%,3730624
55,"BBWI","Bath & Body Works Inc","Consumer Cyclical","Specialty Retail","USA",7103.18,8.18,31.82,4.12%,3247445
56,"BBY","Best Buy Co. Inc.","Consumer Cyclical","Specialty Retail","USA",17809.02,14.46,82.56,2.30%,1688379
57,"BDX","Becton Dickinson & Co.","Healthcare","Medical Instruments & Supplies","USA",67748.09,48.22,234.39,0.76%,1127474
58,"BEN","Franklin Resources, Inc.","Financial","Asset Management","USA",11474.62,13.52,21.94,2.33%,2294067
59,"BF-B","Brown-Forman Corp.","Consumer Defensive","Beverages - Wineries & Distilleries","USA",20962.47,20.66,44.35,-1.22%,1357030
60,"BG","Bunge Global SA","Consumer Defensive","Farm Products","USA",13795.29,11.04,97.39,1.78%,1556248
61,"BIIB","Biogen Inc","Healthcare","Drug Manufacturers - General","USA",29724.84,25.70,204.07,2.15%,1198462
62,"BIO","Bio-Rad Laboratories Inc.","Healthcare","Medical Devices","USA",9364.83,,328.36,3.03%,240793
63,"BK","Bank Of New York Mellon Corp","Financial","Asset Management","USA",46794.04,14.66,63.41,2.77%,3698638
64,"BKNG","Booking Holdings Inc","Consumer Cyclical","Travel Services","USA",113795.38,23.77,3394.85,2.70%,377308
65,"BKR","Baker Hughes Co","Energy","Oil & Gas Equipment & Services","USA",34968.38,17.82,35.20,2.80%,5944551
66,"BLDR","Builders Firstsource Inc","Industrials","Building Products & Equipment","USA",17834.32,13.45,153.15,0.19%,1871615
67,"BLK","Blackrock Inc.","Financial","Asset Management","USA",126625.97,21.22,854.83,1.78%,381502
68,"BMY","Bristol-Myers Squibb Co.","Healthcare","Drug Manufacturers - General","USA",94983.69,,46.85,0.75%,15216633
69,"BR","Broadridge Financial Solutions, Inc.","Technology","Information Technology Services","USA",25214.03,36.83,216.04,1.95%,557904
70,"BRK-B","Berkshire Hathaway Inc.","Financial","Insurance - Diversified","USA",930050.71,13.72,431.54,1.06%,3146631
71,"BRO","Brown & Brown, Inc.","Financial","Insurance Brokers","USA",28614.43,28.87,100.31,1.54%,991610
72,"BSX","Boston Scientific Corp.","Healthcare","Medical Devices","USA",111257.20,61.12,75.55,2.40%,4504921
73,"BWA","BorgWarner Inc","Consumer Cyclical","Auto Parts","USA",7318.25,10.34,32.13,1.52%,3548749
74,"BX","Blackstone Inc","Financial","Asset Management","USA",159575.90,49.85,130.65,2.40%,1965540
75,"BXP","BXP Inc.","Real Estate","REIT - Office","USA",10857.69,64.60,68.75,1.78%,1041812
76,"C","Citigroup Inc","Financial","Banks - Diversified","USA",110652.40,16.19,58.00,3.37%,17925729
77,"CAG","Conagra Brands Inc","Consumer Defensive","Packaged Foods","USA",14489.76,42.03,30.30,1.75%,3058127
78,"CAH","Cardinal Health, Inc.","Healthcare","Medical Distribution","USA",24093.94,43.85,98.92,-0.79%,1727056
79,"CARR","Carrier Global Corp","Industrials","Building Products & Equipment","USA",58209.32,17.16,64.48,2.17%,2820305
80,"CAT","Caterpillar Inc.","Industrials","Farm & Heavy Construction Machinery","USA",164399.05,15.31,336.16,3.18%,2267885
81,"CB","Chubb Limited","Financial","Insurance - Property & Casualty","Switzerland",108746.04,11.37,269.22,1.32%,953657
82,"CBOE","Cboe Global Markets Inc.","Financial","Financial Data & Stock Exchanges","USA",21363.35,28.26,204.18,0.96%,1651867
83,"CBRE","CBRE Group Inc","Real Estate","Real Estate Services","USA",33302.81,36.38,108.68,2.22%,1291081
84,"CCI","Crown Castle Inc","Real Estate","REIT - Specialty","USA",48193.81,40.56,110.90,-0.33%,2215394
85,"CCL","Carnival Corp.","Consumer Cyclical","Travel Services","USA",18362.45,22.24,14.49,3.43%,24095728
86,"CDNS","Cadence Design Systems, Inc.","Technology","Software - Application","USA",73569.96,69.48,268.68,7.34%,3226610
87,"CDW","CDW Corp","Technology","Information Technology Services","USA",28360.37,26.01,212.31,1.59%,758217
88,"CE","Celanese Corp","Basic Materials","Chemicals","USA",13810.46,7.19,126.40,1.09%,1191250
89,"CEG","Constellation Energy Corporation","Utilities","Utilities - Renewable","USA",58482.41,24.93,187.03,4.10%,3338598
90,"CF","CF Industries Holdings Inc","Basic Materials","Agricultural Inputs","USA",14536.49,14.16,79.53,8.50%,2982076
91,"CFG","Citizens Financial Group Inc","Financial","Banks - Regional","USA",17828.89,15.14,39.77,3.59%,4651081
92,"CHD","Church & Dwight Co., Inc.","Consumer Defensive","Household & Personal Products","USA",25022.03,31.48,102.21,0.61%,1097731
93,"CHRW","C.H. Robinson Worldwide, Inc.","Industrials","Integrated Freight & Logistics","USA",11560.29,35.58,98.57,0.82%,1662202
94,"CHTR","Charter Communications Inc.","Communication Services","Telecom Services","USA",51948.80,11.60,363.94,2.83%,917921
95,"CI","Cigna Group","Healthcare","Healthcare Plans","USA",93654.84,26.35,335.02,1.83%,1164813
96,"CINF","Cincinnati Financial Corp.","Financial","Insurance - Property & Casualty","USA",19898.73,9.35,127.36,0.86%,367215
97,"CL","Colgate-Palmolive Co.","Consumer Defensive","Household & Personal Products","USA",83923.31,29.85,102.71,0.27%,3215410
98,"CLX","Clorox Co.","Consumer Defensive","Household & Personal Products","USA",17924.34,64.37,144.33,0.37%,871087
99,"CMCSA","Comcast Corp","Communication Services","Telecom Services","USA",152382.87,10.49,39.35,2.18%,13666980
100,"CME","CME Group Inc","Financial","Financial Data & Stock Exchanges","USA",73866.31,22.63,205.15,0.07%,2086482
101,"CMG","Chipotle Mexican Grill","Consumer Cyclical","Restaurants","USA",74390.15,53.23,54.32,1.29%,9301122
102,"CMI","Cummins Inc.","Industrials","Specialty Industrial Machinery","USA",40736.74,21.54,297.24,1.80%,576418
103,"CMS","CMS Energy Corporation","Utilities","Utilities - Regulated Electric","USA",19480.18,20.07,65.21,-0.53%,1410848
104,"CNC","Centene Corp.","Healthcare","Healthcare Plans","USA",39725.78,14.33,75.52,0.99%,2812167
105,"CNP","Centerpoint Energy Inc.","Utilities","Utilities - Regulated Electric","USA",16870.97,16.26,26.28,2.54%,13959551
106,"COF","Capital One Financial Corp.","Financial","Credit Services","USA",51310.53,12.64,134.37,1.57%,1742422
107,"COO","Cooper Companies, Inc.","Healthcare","Medical Instruments & Supplies","USA",18536.08,54.75,93.09,1.41%,979514
108,"COP","Conoco Phillips","Energy","Oil & Gas E&P","USA",125728.53,12.05,108.27,1.25%,5391820
109,"COR","Cencora Inc.","Healthcare","Medical Distribution","USA",46700.85,25.73,237.00,-1.70%,1747213
110,"COST","Costco Wholesale Corp","Consumer Defensive","Discount Stores","USA",372144.50,52.03,839.43,3.59%,2342643
111,"CPAY","Corpay Inc.","Technology","Software - Infrastructure","USA",20120.41,20.80,286.33,5.94%,638698
112,"CPB","Campbell Soup Co.","Consumer Defensive","Packaged Foods","USA",14614.02,19.82,48.95,0.51%,1618089
